real_isolate_id,project,source,date_isolated,genome_sequence
G-G2-6,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-6,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
G-G2-6,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-8,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-8,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-9,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
GW822-FHT02A03,Select seq NR_027188.1,,,
GW822-FHT03D02,Select seq NR_027188.1,,,
GW822-FHT05C06,Select seq NR_027188.1,,,
Glu-G2-1,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-26,
Glu-G2-10,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Glu-G2-10,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-11,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-11,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-12,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-12,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-12,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Glu-G2-14,,Nameera enrichments with B. distachyon in Davis soil,2020-03-12,
Glu-G2-16,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
Glu-G2-17,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
Glu-G2-2,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Glu-G2-3,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Glu-G2-3,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-3,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-4,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Glu-G2-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Glu-G2-5,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Glu-G2-6,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-26,
Gly-G2-10,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
